user_id,connect_user_id
15560,1
15560,2
16081,3
16081,4
16304,5
16081,16304
12217,13057
13057,12217
63,15550
15550,63
16093,15550
15550,16093
14412,16093
16093,14412
16109,16274
16274,16109
41,16109
16109,41
16093,16228
16228,16093
16109,16093
16093,16109
16093,41
41,16093
16109,16228
16228,16109
41,16228
16228,41
16093,3129
3129,16093
3129,16199
16199,3129
3129,15943
15943,3129
10736,15821
15821,10736
15821,16109
16109,15821
38,27
27,38
59,58
58,59
59,60
60,59
47,58
58,47
62,59
59,62
47,62
62,47
47,63
63,47
59,61
61,59
63,60
60,63
47,38
38,47
38,60
60,38
66,63
63,66
66,61
61,66
63,61
61,63
27,61
61,27
63,58
58,63
63,27
27,63
38,63
63,38
27,58
58,27
38,61
61,38
59,38
38,59
61,69
69,61
41,62
62,41
70,47
47,70
70,62
62,70
70,63
63,70
63,62
62,63
59,71
71,59
63,59
59,63
67,59
59,67
67,58
58,67
67,63
63,67
70,61
61,70
58,72
72,58
62,68
68,62
68,58
58,68
62,27
27,62
41,27
27,41
61,62
62,61
69,62
62,69
47,69
69,47
47,61
61,47
63,37
37,63
93,61
61,93
94,63
63,94
61,94
94,61
61,41
41,61
95,97
97,95
96,95
95,96
97,96
96,97
98,95
95,98
98,97
97,98
94,38
38,94
16325,16326
16326,16325
66,38
38,66
59,102
102,59
58,103
103,58
106,105
105,106
58,66
66,58
66,59
59,66
58,110
110,58
58,61
61,58
105,58
58,105
59,105
105,59
58,116
116,58
116,59
59,116
58,119
119,58
59,119
119,59
66,27
27,66
61,123
123,61
124,58
58,124
123,58
58,123
123,59
59,123
123,62
62,123
124,127
127,124
128,59
59,128
58,130
130,58
62,60
60,62
57,62
62,57
62,58
58,62
61,110
110,61
59,124
124,59
38,41
41,38
59,134
134,59
58,134
134,58
59,137
137,59
124,62
62,124
62,135
135,62
139,62
62,139
58,137
137,58
59,118
118,59
58,143
143,58
143,124
124,143
145,144
144,145
124,146
146,124
59,135
135,59
59,154
154,59
58,154
154,58
124,155
155,124
124,154
154,124
61,137
137,61
63,137
137,63
124,41
41,124
58,153
153,58
41,58
58,41
58,157
157,58
158,58
58,158
58,161
161,58
59,125
125,59
160,58
58,160
146,59
59,146
58,167
167,58
58,169
169,58
169,63
63,169
63,124
124,63
58,171
171,58
59,171
171,59
58,135
135,58
63,41
41,63
63,174
174,63
41,174
174,41
179,160
160,179
181,182
182,181
124,185
185,124
124,183
183,124
59,156
156,59
58,52
52,58
59,196
196,59
202,41
41,202
58,203
203,58
205,58
58,205
59,160
160,59
58,207
207,58
124,61
61,124
63,211
211,63
160,61
61,160
160,63
63,160
58,223
223,58
59,225
225,59
226,58
58,226
227,63
63,227
225,63
63,225
63,142
142,63
59,52
52,59
228,58
58,228
104,59
59,104
58,104
104,58
237,156
156,237
160,238
238,160
239,234
234,239
244,58
58,244
59,207
207,59
245,207
207,245
124,142
142,124
160,250
250,160
160,124
124,160
160,183
183,160
52,213
213,52
213,183
183,213
59,182
182,59
251,127
127,251
127,252
252,127
252,41
41,252
127,41
41,127
58,250
250,58
160,135
135,160
160,255
255,160
160,254
254,160
45,135
135,45
160,257
257,160
257,45
45,257
41,45
45,41
257,41
41,257
45,258
258,45
258,257
257,258
258,160
160,258
135,257
257,135
259,258
258,259
257,259
259,257
258,135
135,258
136,160
160,136
160,262
262,160
135,124
124,135
58,265
265,58
59,266
266,59
265,124
124,265
268,124
124,268
59,269
269,59
269,41
41,269
41,160
160,41
160,265
265,160
59,265
265,59
58,270
270,58
270,135
135,270
160,272
272,160
160,62
62,160
160,268
268,160
62,253
253,62
62,234
234,62
60,234
234,60
60,274
274,60
62,274
274,62
60,135
135,60
62,269
269,62
269,182
182,269
60,259
259,60
62,259
259,62
160,273
273,160
273,59
59,273
213,59
59,213
273,62
62,273
59,183
183,59
59,276
276,59
276,58
58,276
58,277
277,58
58,278
278,58
58,147
147,58
277,59
59,277
58,280
280,58
59,280
280,59
58,279
279,58
280,62
62,280
277,280
280,277
281,59
59,281
283,284
284,283
283,265
265,283
45,143
143,45
135,277
277,135
290,135
135,290
290,292
292,290
292,291
291,292
135,291
291,135
293,291
291,293
135,278
278,135
135,167
167,135
249,295
295,249
135,295
295,135
299,290
290,299
52,62
62,52
304,146
146,304
160,290
290,160
160,307
307,160
135,307
307,135
160,308
308,160
307,146
146,307
307,60
60,307
289,60
60,289
60,290
290,60
290,311
311,290
160,310
310,160
160,311
311,160
310,311
311,310
278,290
290,278
310,278
278,310
278,313
313,278
290,182
182,290
290,295
295,290
278,311
311,278
278,315
315,278
58,315
315,58
58,290
290,58
317,146
146,317
146,320
320,146
320,259
259,320
277,321
321,277
277,62
62,277
321,278
278,321
278,62
62,278
321,62
62,321
62,290
290,62
321,290
290,321
61,327
327,61
69,66
66,69
37,61
61,37
327,63
63,327
37,62
62,37
327,62
62,327
327,47
47,327
332,327
327,332
330,146
146,330
334,63
63,334
124,336
336,124
146,337
337,146
146,341
341,146
146,327
327,146
146,135
135,146
342,135
135,342
146,345
345,146
135,336
336,135
336,289
289,336
160,349
349,160
58,349
349,58
160,285
285,160
351,58
58,351
349,351
351,349
160,351
351,160
351,285
285,351
351,353
353,351
351,354
354,351
332,124
124,332
146,301
301,146
146,160
160,146
301,160
160,301
58,285
285,58
285,124
124,285
350,336
336,350
305,146
146,305
146,359
359,146
240,361
361,240
327,135
135,327
160,327
327,160
196,327
327,196
340,146
146,340
367,146
146,367
325,372
372,325
66,41
41,66
63,311
311,63
58,146
146,58
146,379
379,146
