user_id,connect_user_id,ratings
10559,10440,4
10440,10559,4
10713,10374,7
10374,10713,7
6732,10827,7
10827,6732,7
10713,10243,5
10243,10713,5
10627,38,1
38,10627,1
10827,10627,1
10627,10827,1
10243,6732,1
6732,10243,1
10827,6899,7
6899,10827,7
10627,6732,1
6732,10627,1
10243,10627,1
10627,10243,1
10627,10829,1
10829,10627,1
10829,10713,1
10713,10829,1
10643,10829,1
10829,10643,1
10713,10643,5
10643,10713,5
10829,10827,1
10827,10829,1
10829,6899,1
6899,10829,1
10713,6899,7
6899,10713,7
10829,10708,5
10708,10829,5
10829,10822,1
10822,10829,1
10708,10822,1
10822,10708,1
10829,10137,1
10137,10829,1
10829,59,7
59,10829,7
10830,9278,1
9278,10830,1
10830,10831,1
10831,10830,1
6784,10831,4
10831,6784,4
10231,59,7
59,10231,7
10829,7068,1
7068,10829,1
10831,7068,7
7068,10831,7
10822,10835,1
10835,10822,1
10231,10831,7
10831,10231,7
10708,10231,7
10231,10708,7
10831,10708,7
10708,10831,7
10231,10838,4
10838,10231,4
10231,10839,1
10839,10231,1
10838,10839,1
10839,10838,1
10231,10833,1
10833,10231,1
10231,9145,5
9145,10231,5
10833,10839,1
10839,10833,1
10833,9145,1
9145,10833,1
10831,8349,4
8349,10831,4
10708,10839,1
10839,10708,1
10833,10831,3
10831,10833,3
10833,10841,5
10841,10833,5
10831,9870,2
9870,10831,2
10841,9927,1
9927,10841,1
10833,9927,2
9927,10833,2
10841,9870,1
9870,10841,1
10831,10841,1
10841,10831,1
9927,10831,1
10831,9927,1
10831,10843,1
10843,10831,1
10844,10831,1
10831,10844,1
10831,10710,1
10710,10831,1
10831,8405,1
8405,10831,1
10842,10844,7
10844,10842,7
10834,6066,7
6066,10834,7
38,10693,5
10693,38,5
9625,6066,2
6066,9625,2
10842,6066,7
6066,10842,7
10683,10843,1
10843,10683,1
10834,10125,1
10125,10834,1
10125,10843,4
10843,10125,4
10609,10843,1
10843,10609,1
10125,10710,5
10710,10125,5
10609,10842,5
10842,10609,5
10770,10809,1
10809,10770,1
10710,10809,1
10809,10710,1
10125,10770,1
10770,10125,1
10710,10770,1
10770,10710,1
10609,38,4
38,10609,4
10842,10710,6
10710,10842,6
10609,10770,2
10770,10609,2
10770,38,5
38,10770,5
10710,10849,1
10849,10710,1
10710,10845,5
10845,10710,5
10849,10842,1
10842,10849,1
10770,10849,3
10849,10770,3
10845,10810,1
10810,10845,1
10710,6066,3
6066,10710,3
10845,10849,7
10849,10845,7
10710,936,1
936,10710,1
10710,10814,1
10814,10710,1
10842,10850,1
10850,10842,1
10710,10850,2
10850,10710,2
10845,10853,1
10853,10845,1
10853,10849,1
10849,10853,1
10845,10850,1
10850,10845,1
10849,38,7
38,10849,7
10815,10857,1
10857,10815,1
9625,10857,1
10857,9625,1
10815,10858,4
10858,10815,4
10858,10860,5
10860,10858,5
10861,10858,1
10858,10861,1
9870,10862,1
10862,9870,1
10683,38,7
38,10683,7
10863,8920,1
8920,10863,1
10865,10863,1
10863,10865,1
8920,10865,1
10865,8920,1
8920,9409,1
9409,8920,1
9326,6712,4
6712,9326,4
10299,10683,1
10683,10299,1
9326,9409,2
9409,9326,2
9409,6712,4
6712,9409,4
10299,6275,2
6275,10299,2
10299,10024,1
10024,10299,1
10024,6275,1
6275,10024,1
10704,9977,7
9977,10704,7
9695,2217,7
2217,9695,7
10704,10869,7
10869,10704,7
9977,10683,1
10683,9977,1
9977,2217,7
2217,9977,7
10869,9695,1
9695,10869,1
10871,10869,1
10869,10871,1
2217,7068,3
7068,2217,3
7068,10875,7
10875,7068,7
9977,10876,1
10876,9977,1
9977,7068,7
7068,9977,7
8368,10876,1
10876,8368,1
10876,10704,1
10704,10876,1
10704,10877,1
10877,10704,1
10704,7068,7
7068,10704,7
10869,10839,1
10839,10869,1
3195,10869,1
10869,3195,1
10271,10878,1
10878,10271,1
10704,3195,4
3195,10704,4
10879,7068,7
7068,10879,7
4528,10404,1
10404,4528,1
10704,4528,7
4528,10704,7
9856,10839,1
10839,9856,1
10879,10609,1
10609,10879,1
10879,10683,1
10683,10879,1
10609,10683,1
10683,10609,1
10609,10704,1
10704,10609,1
10683,7068,1
7068,10683,1
10704,10683,1
10683,10704,1
7068,10839,1
10839,7068,1
10839,10609,1
10609,10839,1
7068,4075,1
4075,7068,1
4075,10655,1
10655,4075,1
7068,10331,5
10331,7068,5
10670,4075,1
4075,10670,1
10670,10683,4
10683,10670,4
4075,10331,5
10331,4075,5
10670,7068,7
7068,10670,7
10830,4075,1
4075,10830,1
4075,10704,1
10704,4075,1
10830,10331,1
10331,10830,1
10882,9625,1
9625,10882,1
7068,10664,7
10664,7068,7
4075,10138,1
10138,4075,1
4075,10882,1
10882,4075,1
10664,10885,1
10885,10664,1
10886,10683,2
10683,10886,2
10127,10704,1
10704,10127,1
10886,59,4
59,10886,4
10127,10886,7
10886,10127,7
10795,10884,1
10884,10795,1
10795,10887,7
10887,10795,7
10569,10888,1
10888,10569,1
10609,10077,1
10077,10609,1
10609,10886,1
10886,10609,1
10709,10889,1
10889,10709,1
10890,10889,1
10889,10890,1
10640,5914,1
5914,10640,1
5914,10484,1
10484,5914,1
9695,10891,1
10891,9695,1
10484,10891,1
10891,10484,1
10891,10893,1
10893,10891,1
10882,10848,2
10848,10882,2
9870,10848,4
10848,9870,4
10609,10848,1
10848,10609,1
9870,10609,2
10609,9870,2
9870,7068,4
7068,9870,4
10895,7068,7
7068,10895,7
8591,9870,7
9870,8591,7
9624,5914,3
5914,9624,3
10891,10620,1
10620,10891,1
338,10620,2
10620,338,2
9980,9624,5
9624,9980,5
338,10829,1
10829,338,1
10829,10895,1
10895,10829,1
338,10895,4
10895,338,4
9980,10896,5
10896,9980,5
338,5914,1
5914,338,1
10897,338,1
338,10897,1
9980,338,5
338,9980,5
10609,338,1
338,10609,1
10609,10900,1
10900,10609,1
10609,9980,3
9980,10609,3
10609,10896,1
10896,10609,1
9980,5914,1
5914,9980,1
10609,5914,1
5914,10609,1
5914,7068,1
7068,5914,1
9980,7068,1
7068,9980,1
10609,10895,4
10895,10609,4
338,9754,2
9754,338,2
9754,9980,3
9980,9754,3
9980,9879,7
9879,9980,7
9754,10569,1
10569,9754,1
9754,10710,5
10710,9754,5
338,10902,2
10902,338,2
10903,10710,1
10710,10903,1
10710,9879,1
9879,10710,1
9980,10710,2
10710,9980,2
9754,9879,1
9879,9754,1
10434,9980,3
9980,10434,3
43,9980,2
9980,43,2
43,10569,1
10569,43,1
10569,10896,1
10896,10569,1
10569,5375,1
5375,10569,1
10896,6784,2
6784,10896,2
43,6784,3
6784,43,3
43,5914,1
5914,43,1
5914,10434,1
10434,5914,1
5914,6784,7
6784,5914,7
10909,9980,1
9980,10909,1
10880,6784,7
6784,10880,7
5914,8646,1
8646,5914,1
10910,10911,2
10911,10910,2
8646,10911,4
10911,8646,4
9754,5914,1
5914,9754,1
5914,7692,1
7692,5914,1
9754,7692,2
7692,9754,2
5914,10911,1
10911,5914,1
10911,7692,1
7692,10911,1
10914,10911,1
10911,10914,1
10911,10880,1
10880,10911,1
6784,10911,3
10911,6784,3
8646,6784,2
6784,8646,2
10749,10916,1
10916,10749,1
9887,338,1
338,9887,1
10831,10919,1
10919,10831,1
10831,9887,1
9887,10831,1
9887,10921,6
10921,9887,6
5914,10922,1
10922,5914,1
5914,10923,1
